~id,~from,~to,~label
43_apink_floyd,a_43,a_pink_floyd,hasArtist
43_grock,a_43,g_rock,hasGenre
43_sprog_rock,a_43,s_prog_rock,hasSubgenre
44_1975,a_44,y_1975,hasYear
44_apatti_smith,a_44,a_patti_smith,hasArtist
44_grock,a_44,g_rock,hasGenre
44_sart_rock,a_44,s_art_rock,hasSubgenre
45_1969,a_45,y_1969,hasYear
45_athe_band,a_45,a_the_band,hasArtist
45_gclassical,a_45,g_classical,hasGenre
45_gstage___screen,a_45,g_stage___screen,hasGenre
45_ssoundtrack,a_45,s_soundtrack,hasSubgenre
45_smodern_classical,a_45,s_modern_classical,hasSubgenre
45_scontemporary,a_45,s_contemporary,hasSubgenre
45_sscore,a_45,s_score,hasSubgenre
46_1984,a_46,y_1984,hasYear
46_abob_marley___the_wailers,a_46,a_bob_marley___the_wailers,hasArtist
46_greggae,a_46,g_reggae,hasGenre
46_sreggae,a_46,s_reggae,hasSubgenre
46_sroots_reggae,a_46,s_roots_reggae,hasSubgenre
47_1965,a_47,y_1965,hasYear
47_ajohn_coltrane,a_47,a_john_coltrane,hasArtist
47_gjazz,a_47,g_jazz,hasGenre
47_sfree_jazz,a_47,s_free_jazz,hasSubgenre
47_shard_bop,a_47,s_hard_bop,hasSubgenre
47_smodal,a_47,s_modal,hasSubgenre
48_1988,a_48,y_1988,hasYear
48_apublic_enemy,a_48,a_public_enemy,hasArtist
48_ghip_hop,a_48,g_hip_hop,hasGenre
48_sconscious,a_48,s_conscious,hasSubgenre
49_1971,a_49,y_1971,hasYear
49_athe_allman_brothers_band,a_49,a_the_allman_brothers_band,hasArtist
49_grock,a_49,g_rock,hasGenre
49_gblues,a_49,g_blues,hasGenre
49_sblues_rock,a_49,s_blues_rock,hasSubgenre
50_1957,a_50,y_1957,hasYear
50_alittle_richard,a_50,a_little_richard,hasArtist
50_grock,a_50,g_rock,hasGenre
50_gblues,a_50,g_blues,hasGenre
50_srock___roll,a_50,s_rock___roll,hasSubgenre
50_srhythm___blues,a_50,s_rhythm___blues,hasSubgenre
51_1970,a_51,y_1970,hasYear
51_asimon___garfunkel,a_51,a_simon___garfunkel,hasArtist
51_grock,a_51,g_rock,hasGenre
51_sfolk_rock,a_51,s_folk_rock,hasSubgenre
51_sclassic_rock,a_51,s_classic_rock,hasSubgenre
52_1975,a_52,y_1975,hasYear
52_aal_green,a_52,a_al_green,hasArtist
52_gfunk___soul,a_52,g_funk___soul,hasGenre
52_ssoul,a_52,s_soul,hasSubgenre
53_1964,a_53,y_1964,hasYear
53_athe_beatles,a_53,a_the_beatles,hasArtist
53_grock,a_53,g_rock,hasGenre
53_sbeat,a_53,s_beat,hasSubgenre
53_srock___roll,a_53,s_rock___roll,hasSubgenre
54_1991,a_54,y_1991,hasYear
54_aray_charles,a_54,a_ray_charles,hasArtist
54_gjazz,a_54,g_jazz,hasGenre
54_gfunk___soul,a_54,g_funk___soul,hasGenre
54_srhythm___blues,a_54,s_rhythm___blues,hasSubgenre
54_sbig_band,a_54,s_big_band,hasSubgenre
54_ssoul,a_54,s_soul,hasSubgenre
54_ssoul_jazz,a_54,s_soul_jazz,hasSubgenre
55_1968,a_55,y_1968,hasYear
